Age,Sex,Job,Credit amount,Duration,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Credit Score,Risk Band
67,0,2,1169,6,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,300,D - High Risk
22,1,2,5951,48,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,487,D - High Risk
49,0,1,2096,12,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,300,D - High Risk
45,0,2,7882,42,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,487,D - High Risk
53,0,2,4870,24,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,487,D - High Risk
35,0,1,9055,36,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,487,D - High Risk
53,0,2,2835,24,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,368,D - High Risk
35,0,3,6948,36,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
61,0,1,3059,12,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,434,D - High Risk
28,0,3,5234,30,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,487,D - High Risk
25,1,2,1295,12,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,300,D - High Risk
24,1,2,4308,48,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,487,D - High Risk
22,1,2,1567,12,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,300,D - High Risk
60,0,1,1199,24,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,300,D - High Risk
